//Motor_Max=30.0,Motor_Min=-25.0,Battery_Max=30.0,Battery_Min=-12.0,Cutoff_Start=30.0,Cutoff_End=28.0,Temp_Start=85.0,Temp_End=100.0,Watt_Max=15000,Speed_Limit=25.0,Wheelsize=80,Motor_Teeth=15,Wheel_Teeth=36,Motor_Poles=14,Battery_Cells=10,Battery_Wh=300,Vesc_Count=2,Speed_Unit=0
Time,TempPcb,MotorCurrent,BatteryCurrent,DutyCycle,Speed,InpVoltage,AmpHours,AmpHoursCharged,WattHours,WattHoursCharged,Distance,Power,Fault,TimePassedInMs,Latitude,Longitude,Altitude,GPSSpeed
20_09_2022_15_43_27.750,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,15900,0.0,0.0,0.0,0.0
20_09_2022_15_43_27.937,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16087,0.0,0.0,0.0,0.0
20_09_2022_15_43_28.126,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16276,0.0,0.0,0.0,0.0
20_09_2022_15_43_28.275,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16425,0.0,0.0,0.0,0.0
20_09_2022_15_43_28.462,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16612,0.0,0.0,0.0,0.0
20_09_2022_15_43_28.688,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16838,0.0,0.0,0.0,0.0
20_09_2022_15_43_28.838,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,16988,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.025,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,17175,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.212,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,17362,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.363,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,17513,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.550,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,17700,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.737,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,17887,0.0,0.0,0.0,0.0
20_09_2022_15_43_29.925,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,18075,0.0,0.0,0.0,0.0
20_09_2022_15_43_30.113,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,18263,0.0,0.0,0.0,0.0
20_09_2022_15_43_30.562,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,18712,0.0,0.0,0.0,0.0
20_09_2022_15_43_31.056,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,19206,0.0,0.0,0.0,0.0
20_09_2022_15_43_31.238,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,19388,0.0,0.0,0.0,0.0
20_09_2022_15_43_31.388,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,19538,0.0,0.0,0.0,0.0
20_09_2022_15_43_31.875,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,20025,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.063,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,20213,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.250,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,20400,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.400,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,20550,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.589,29.0,0.00,0.00,0,0.0,37.4,0.006,0.000,0.212,0.000,0.236,0,0,20739,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.776,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,20926,0.0,0.0,0.0,0.0
20_09_2022_15_43_32.963,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,21113,0.0,0.0,0.0,0.0
20_09_2022_15_43_33.113,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,21263,0.0,0.0,0.0,0.0
20_09_2022_15_43_33.602,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,21752,0.0,0.0,0.0,0.0
20_09_2022_15_43_33.789,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,21939,0.0,0.0,0.0,0.0
20_09_2022_15_43_33.976,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,22126,0.0,0.0,0.0,0.0
20_09_2022_15_43_34.163,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,22313,0.0,0.0,0.0,0.0
20_09_2022_15_43_34.314,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,22464,0.0,0.0,0.0,0.0
20_09_2022_15_43_34.801,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,22951,0.0,0.0,0.0,0.0
20_09_2022_15_43_35.288,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,23438,0.0,0.0,0.0,0.0
20_09_2022_15_43_35.776,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,23926,0.0,0.0,0.0,0.0
20_09_2022_15_43_35.963,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24113,0.0,0.0,0.0,0.0
